dbname,seqno,query,exec_time,perf_dev,dev_pcnt,perf_stts,rss,avgrss,vsz,memory,llc_hit,llc_hitm,llc_miss,llc_lookup_stat,llc_hitm_stat,llc_hit_stat,llc_miss_stat,maxrss,avgrss,maxwss,avgrss,ref,maxrss_s,avgrss_s,maxref_s,avgref_s
"SF-1",0,"q01",4.25,0.00,0.00%,0,625240,420834,420834,100,50920,2117,4599,5336014,339777,864069,864069,2897.04,1722.1552631578948,2892.78,1717.8676842105262,2638.01,655.34,478.92636363636365,361.09,51.906363636363636
"SF-1",0,"q02",117.24,0.00,0.00%,0,406268,324431,324431,100,9483,609,1505,3481557,167219,163035,163035,689.91,486.36925925925925,683.61,482.1511111111111,610.56,426.71,373.2725,384.55,31.271250000000002
"SF-1",0,"q03",4.36,0.00,0.00%,0,580356,338471,338471,100,50299,3331,6199,12618595,401447,324549,324549,2732.09,1879.3187610619468,2727.81,1874.9778761061946,2382.9,700.71,507.1426086956522,358.35,44.61608695652174
"SF-1",0,"q04",2.36,0.00,0.00%,0,482588,321090,321090,100,21545,1315,3789,4836787,355955,452266,452266,1861.73,1112.8932203389832,1857.41,1108.4445762711864,1508.38,518.97,416.475,367.09,37.59611111111111
"SF-1",0,"q05",5.75,0.00,0.00%,0,532276,353340,353340,100,34913,1663,5254,31107456,370481,741497,741497,3126.15,1717.327037037037,3122.01,1713.1383950617285,2777.18,654.38,465.5355,166.57,30.797
"SF-1",0,"q06",2.22,0.00,0.00%,0,428108,291227,291227,100,22362,1471,3647,4190786,400118,1712213,1712213,2109.1,1189.3388,2104.74,1184.9825333333333,1758.54,575.37,428.1178947368421,340.77,35.269473684210524
"SF-1",0,"q07",9.83,0.00,0.00%,0,555428,388487,388487,100,50025,2406,5113,53329381,397673,1193085,1193085,3106.22,1788.1112359550561,3101.94,1783.6816853932585,2760.71,627.83,449.5595238095238,99.47,27.706190476190475
"SF-1",0,"q08",11.03,0.00,0.00%,0,554724,306183,306183,100,36911,2202,5147,5018964,449594,406114,406114,2749.62,1739.75202247191,2745.36,1735.538426966292,2413.22,617.29,465.49666666666667,383.98,43.245714285714286
"SF-1",0,"q09",9.21,0.00,0.00%,0,488920,318861,318861,100,110558,5665,11039,160055923,1192388,8582775,8582775,3320.37,1698.5695,3316.04,1694.3845,2982.71,711.09,487.0908,384.4,37.234
"SF-1",0,"q10",21.08,0.00,0.00%,0,586080,428408,428408,100,24775,1503,4166,10071797,438609,1669220,1669220,2347.97,1448.02575,2343.57,1443.61575,1998.86,587.36,436.9190909090909,67.73,21.405454545454546
"SF-1",0,"q11",56.21,0.00,0.00%,0,389600,353026,353026,100,10109,582,1664,2706005,128033,443235,443235,585.22,452.86782608695654,580.79,448.3286956521739,563.18,429.55,371.61266666666666,376.93,32.212666666666664
"SF-1",0,"q12",3.49,0.00,0.00%,0,485220,345270,345270,100,21012,1439,3189,2442045,243782,542083,542083,1687.55,974.4581355932203,1681.26,970.2793220338983,1468.75,509.2,404.37611111111113,180.18,24.611666666666668
"SF-1",0,"q13",21.79,0.00,0.00%,0,545940,431020,431020,100,57058,1915,11979,57808614,383882,775832,775832,2068.43,1170.325857142857,2064.18,1166.1242857142856,1714.37,541.44,395.0363157894737,112.39,16.35842105263158
"SF-1",0,"q14",7.07,0.00,0.00%,0,468448,354517,354517,100,17196,1036,2965,10260375,317296,1430277,1430277,1891.05,1194.603088235294,1886.89,1190.3132352941177,1545.28,527.77,399.3231578947368,193.27,25.152631578947368
"SF-1",0,"q15",7.20,0.00,0.00%,0,432564,325675,325675,100,25597,1570,3589,91946443,323245,1766617,1766617,1908.1,1212.9663636363637,1903.71,1208.5590909090909,1675.06,522.23,421.67111111111114,93.71,20.807222222222222
"SF-1",0,"q16",247.02,0.00,0.00%,0,429800,391336,391336,100,30939,1701,4670,10398418,194285,148154,148154,739.27,541.5960714285715,735.14,537.3782142857143,588.8,455.13,383.49625,309.04,27.293125
"SF-1",0,"q17",5.26,0.00,0.00%,0,445196,349918,349918,100,25304,1268,2819,2950144,90842,277483,277483,1313.84,770.6164516129032,1307.46,766.4387096774194,1172.27,500.88,399.0705263157895,383.93,33.370526315789476
"SF-1",0,"q18",8.01,0.00,0.00%,0,591644,469272,469272,100,37930,2436,6608,3858535,429721,146998,146998,2808.23,1647.5028915662651,2803.83,1643.1563855421687,2454.09,584.23,456.9533333333333,151.21,28.93857142857143
"SF-1",0,"q19",7.09,0.00,0.00%,0,462992,380017,380017,100,23232,1679,3470,3558745,455996,1063442,1063442,1486.16,1025.7025454545455,1479.9,1021.4872727272727,1279.92,497.39,409.67555555555555,151.73,24.02777777777778
"SF-1",0,"q20",13.95,0.00,0.00%,0,517008,392228,392228,100,31115,1520,3865,28236474,613581,713896,713896,1882.23,1233.1013846153846,1877.94,1228.8092307692307,1720.07,548.93,430.0447368421053,318.39,34.090526315789475
"SF-1",0,"q21",8.96,0.00,0.00%,0,783216,504740,504740,100,61823,2255,7381,67772982,742328,779436,779436,3632.75,2118.6685263157897,3628.24,2114.373789473684,3293.99,752.8,525.4239130434783,280.64,56.76260869565217
"SF-1",0,"q22",8.96,0.00,0.00%,0,379140,277476,277476,100,30385,781,2600,40537613,162376,399559,399559,642.67,461.392,636.67,456.9395,552.55,386.32,366.9757142857143,379.25,32.68571428571428
