Watching PID 1834547 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.216       631.26     628.71     344.78
0.440       714.21     709.08     431.59
0.671       714.21     708.86     431.92
0.901       714.21     708.64     431.92
1.124       714.21     708.42     431.94
1.352       714.21     707.99     431.94
1.584       714.21     707.80     431.95
1.812       714.21     707.58     431.95
2.034       714.21     707.36     431.95
2.254       714.21     707.14     431.95
2.475       714.21     706.93     431.95
2.697       714.21     706.71     431.95
2.918       714.21     706.52     431.95
3.138       714.21     706.08     431.95
3.358       714.21     705.86     431.95
3.578       714.21     705.64     431.95
3.798       714.21     705.46     431.95
4.017       714.21     705.24     431.95
4.238       714.21     705.02     431.95
4.459       714.21     704.80     431.95
4.681       714.21     704.58     431.95
4.908       714.21     702.61     431.95
5.145       714.21     698.72     432.02
5.383       714.21     696.37     432.02
5.620       714.21     691.84     432.02
5.855       714.21     673.63     432.02
6.087       714.21     670.09     432.02
6.321       714.21     668.88     432.02
6.556       714.21     668.17     432.02
6.788       714.21     667.59     432.02
7.017       714.21     666.96     432.02
7.244       714.21     666.56     432.02
7.472       714.21     666.26     432.02
7.701       714.21     666.00     432.02
7.929       714.21     665.76     432.02
8.157       714.21     665.27     432.02
8.385       714.21     665.03     432.02
8.613       714.21     664.77     432.02
8.841       714.21     664.50     432.02
9.070       714.21     664.23     432.02
9.298       714.21     663.97     432.02
9.525       714.21     663.73     432.02
9.752       714.21     663.49     432.02
9.982       714.21     663.00     432.02
10.212      714.21     662.74     432.02
10.439      714.21     662.46     432.02
10.665      714.21     662.19     432.02
10.892      714.21     661.96     432.02
11.122      714.21     661.73     432.02
11.351      714.21     661.46     432.02
11.581      714.21     660.97     432.02
11.812      714.21     660.71     432.02
12.043      714.21     660.47     432.02
12.273      714.21     660.20     432.02
12.503      714.21     659.97     432.02
12.732      714.21     659.70     432.02
12.959      714.21     659.43     432.02
13.185      714.21     658.95     432.02
13.414      714.21     658.58     432.02
13.642      714.21     658.06     432.02
13.870      714.21     657.42     432.02
14.098      714.21     656.97     432.02
14.327      714.21     656.70     432.02
14.555      714.21     656.43     432.02
14.783      714.21     655.95     432.02
15.011      714.21     655.67     432.02
15.241      714.21     655.40     432.02
15.471      714.21     655.16     432.02
15.700      714.21     654.89     432.02
15.928      714.21     654.63     432.02
16.156      714.21     654.39     432.02
16.385      714.21     653.90     432.02
16.613      714.21     653.66     432.02
16.841      714.21     653.39     432.02
17.069      714.21     653.12     432.02
17.298      714.21     652.85     432.02
17.525      714.21     652.59     432.02
17.752      714.21     652.35     432.02
17.979      714.21     652.08     432.02
18.207      714.21     651.59     432.02
18.435      714.21     651.32     432.02
18.664      714.21     651.05     432.02
18.892      714.21     650.85     432.02
19.120      714.21     650.58     432.02
19.349      714.21     650.31     432.02
19.577      714.21     650.04     432.02
19.806      714.21     649.33     432.02
20.032      714.21     648.84     432.02
20.257      714.21     648.46     432.02
20.484      714.21     647.87     432.02
20.712      714.21     647.54     432.02
20.940      714.21     647.24     432.02
21.168      714.21     646.97     432.02
21.397      714.21     646.73     432.02
21.625      714.21     646.24     432.02
