Watching PID 2846423 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.207       310.02     307.49     235.43
0.423       604.29     601.76     531.88
0.644       714.03     709.02     643.73
0.869       714.03     708.83     643.73
1.091       714.03     708.61     643.73
1.312       714.03     708.39     643.73
1.531       714.03     707.96     643.73
1.751       714.03     707.74     643.73
1.972       714.03     707.55     643.73
2.193       714.03     707.33     643.73
2.413       714.03     707.11     643.73
2.633       714.03     706.89     643.73
2.852       714.03     706.67     643.73
3.072       714.03     706.49     643.73
3.291       714.03     706.27     643.73
3.510       714.03     706.05     643.73
3.728       714.03     705.83     643.73
3.947       714.03     705.39     643.73
4.166       714.03     705.21     643.73
4.394       714.03     704.99     643.81
4.631       714.03     704.77     643.81
4.863       714.03     704.55     643.81
5.095       714.03     696.50     643.81
5.327       714.03     669.91     643.82
5.557       714.03     668.23     643.82
5.787       714.03     667.74     643.82
6.017       714.03     667.23     643.82
6.244       714.03     666.74     643.82
6.470       714.03     666.20     643.82
6.697       714.03     664.77     643.82
6.925       714.03     664.28     643.82
7.155       714.03     663.58     643.82
7.382       714.03     663.06     643.82
7.610       714.03     662.26     643.82
7.839       714.03     661.13     643.82
8.068       714.03     660.61     643.82
8.298       714.03     660.12     643.82
8.526       714.03     659.64     643.82
8.755       714.03     658.49     643.82
8.984       714.03     657.44     643.82
9.213       714.03     656.95     643.82
9.439       714.03     656.44     643.82
9.662       714.03     655.95     643.82
9.890       714.03     654.72     643.82
10.121      714.03     653.98     643.82
10.350      714.03     653.50     643.82
10.581      714.03     652.79     643.82
10.812      714.03     652.27     643.82
11.042      714.03     650.85     643.82
11.272      714.03     650.33     643.82
11.502      714.03     649.85     643.82
11.730      714.03     649.33     643.82
11.959      714.03     648.66     643.82
12.188      714.03     647.18     643.82
12.417      714.03     646.66     643.82
12.646      714.03     646.16     643.82
12.875      714.03     645.94     643.82
13.104      714.03     645.72     643.82
13.333      714.03     645.50     643.82
13.561      714.03     645.31     643.82
13.790      714.03     644.88     643.82
14.019      714.03     644.66     643.82
14.248      714.03     644.44     643.82
14.476      714.03     644.22     643.82
14.703      714.03     644.03     643.82
14.930      714.03     643.81     643.82
15.159      714.03     643.60     643.82
15.387      714.03     643.16     643.82
15.616      714.03     642.94     643.82
15.845      714.03     642.75     643.82
16.074      714.03     642.53     643.82
16.303      714.03     642.31     643.82
16.531      714.03     642.10     643.82
16.760      714.03     641.88     643.82
16.988      714.03     641.47     643.82
17.217      714.03     641.25     643.82
17.445      714.03     641.03     643.82
17.674      714.03     640.81     643.82
17.903      714.03     640.60     643.82
18.131      714.03     640.41     643.82
18.360      714.03     640.19     643.82
18.589      714.03     639.97     643.82
18.818      714.03     639.53     643.82
19.047      714.03     639.31     643.82
19.276      714.03     639.13     643.82
19.504      714.03     638.91     643.82
19.733      714.03     638.69     643.82
19.962      714.03     638.47     643.82
20.191      714.03     638.25     643.82
20.419      714.03     637.85     643.82
20.648      714.03     637.63     643.82
20.877      714.03     637.41     643.82
21.107      714.03     637.19     643.82
21.335      714.03     636.97     643.82
21.564      714.03     636.78     643.82
21.793      714.03     636.56     643.82
22.023      714.03     636.13     643.82
22.252      714.03     635.91     643.82
22.481      714.03     635.69     643.82
22.708      714.03     635.50     643.82
22.935      714.03     635.28     643.82
23.165      714.03     635.06     643.82
23.393      714.03     634.85     643.82
23.621      714.03     634.41     643.82
23.850      714.03     634.22     643.82
24.079      714.03     634.00     643.82
24.308      714.03     633.78     643.82
24.537      714.03     633.56     643.82
24.763      714.03     633.35     643.82
24.991      714.03     633.13     643.82
25.220      714.03     632.72     643.82
25.449      714.03     632.50     643.82
25.678      714.03     632.28     643.82
25.907      714.03     632.06     643.82
26.136      714.03     631.88     643.82
26.365      714.03     631.66     643.82
26.594      714.03     631.44     643.82
26.822      714.03     631.22     643.82
27.051      714.03     630.78     643.82
27.279      714.03     630.60     643.82
27.508      714.03     630.38     643.82
27.737      714.03     630.16     643.82
27.967      714.03     629.94     643.82
28.195      714.03     629.72     643.82
28.423      714.03     629.50     643.82
28.652      714.03     629.10     643.82
28.881      714.03     628.88     643.82
29.110      714.03     628.66     643.82
29.339      714.03     628.44     643.82
29.568      714.03     628.22     643.82
29.797      714.03     628.03     643.82
30.027      714.03     627.81     643.82
30.256      714.03     627.38     643.82
30.485      714.03     627.16     643.82
30.712      714.03     626.97     643.82
30.939      714.03     626.75     643.82
31.169      714.03     626.53     643.82
31.398      714.03     626.31     643.82
31.627      714.03     626.10     643.82
31.855      714.03     625.69     643.82
32.084      714.03     625.47     643.82
32.313      714.03     625.25     643.82
32.542      714.03     625.03     643.82
32.771      714.03     624.81     643.82
33.000      714.03     624.60     643.82
33.231      714.03     624.41     643.82
33.460      714.03     623.97     643.82
33.688      714.03     623.75     643.82
33.917      714.03     623.53     643.82
34.146      714.03     623.31     643.82
34.375      714.03     623.13     643.82
34.604      714.03     622.91     643.82
34.834      714.03     622.69     643.82
35.063      714.03     622.25     643.82
35.292      713.68     621.72     643.82
35.522      713.68     621.50     643.82
35.750      713.68     621.28     643.82
35.978      713.68     621.06     643.82
36.206      713.68     620.85     643.82
36.434      713.68     620.63     643.82
36.663      713.68     620.22     643.82
36.892      713.68     620.00     643.82
37.120      713.68     619.78     643.82
37.347      713.68     619.56     643.82
37.576      713.68     619.35     643.82
37.805      713.68     619.16     643.82
38.035      713.68     618.94     643.82
