Watching PID 2694128 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.214       425.50     421.59      25.42
0.429       448.00     444.09      47.93
0.646       451.12     447.22      53.47
0.863       457.49     453.53      65.05
1.082       458.34     454.31      69.66
1.303       458.34     454.31      69.73
1.523       458.34     454.31      69.73
1.741       458.34     454.31      69.73
1.959       458.34     454.31      69.73
2.179       719.18     715.01     339.00
2.403       744.18     740.01     364.00
2.626       769.15     764.98     388.97
2.853       794.43     790.26     414.25
3.089       820.68     816.51     440.50
3.327       847.15     842.98     466.97
3.564       874.05     869.89     493.87
3.800       899.87     895.70     519.68
4.040       926.93     922.76     546.75
4.285       954.55     950.39     574.37
4.531       981.43     977.26     601.30
4.780      1009.80    1005.63     629.67
5.030      1037.30    1033.13     657.17
5.273      1064.68    1060.51     684.55
5.517      1090.93    1086.76     710.80
5.761      1118.11    1113.94     737.98
6.006      1146.03    1141.86     765.89
6.254      1172.55    1168.39     792.42
6.502      1200.55    1196.38     820.42
6.748      1227.68    1223.51     847.55
6.992      1254.55    1250.38     874.42
7.233      1279.93    1275.76     899.80
7.472      1306.55    1302.39     926.42
7.714      1332.93    1328.76     952.80
7.955      1359.80    1355.64     979.67
8.195      1387.04    1382.87    1006.90
8.437      1413.13    1408.96    1033.00
8.680      1440.55    1436.39    1060.42
8.923      1467.43    1463.26    1087.30
9.167      1494.30    1490.14    1114.18
9.412      1522.05    1517.88    1141.93
9.658      1548.43    1544.26    1168.30
9.906      1576.55    1572.26    1196.69
10.152     1603.43    1599.13    1223.57
10.399     1630.43    1626.03    1250.57
10.646     1658.55    1654.16    1278.70
10.895     1684.55    1680.16    1304.70
11.144     1713.62    1709.27    1335.39
11.394     1739.43    1735.08    1361.20
11.642     1767.30    1762.95    1389.07
11.890     1795.05    1790.70    1416.82
12.137     1822.05    1817.70    1443.82
12.387     1850.37    1846.01    1472.14
12.643     1877.17    1872.82    1498.94
12.900     1906.62    1902.26    1528.39
13.151     1933.87    1929.51    1555.64
13.403     1962.49    1958.14    1584.26
13.655     1989.40    1985.05    1611.17
13.909     2018.49    2014.14    1640.26
14.164     2045.62    2041.26    1667.39
14.419     2074.62    2070.26    1696.39
14.673     2101.87    2097.51    1723.64
14.927     2130.62    2126.26    1752.39
15.181     2157.87    2153.51    1779.64
15.437     2186.62    2182.26    1808.39
15.694     2214.27    2209.92    1836.04
15.952     2242.74    2238.39    1864.51
16.210     2271.49    2267.14    1893.26
16.468     2299.12    2294.76    1920.89
16.726     2329.49    2325.14    1951.26
16.983     2356.12    2351.76    1977.89
17.243     2386.62    2382.26    2008.39
17.502     2414.11    2409.75    2035.88
17.763     2442.54    2438.18    2064.30
18.033     2473.99    2469.64    2095.76
18.308     2505.18    2500.82    2126.95
18.586     2534.87    2530.51    2156.64
18.851     2562.87    2558.51    2184.64
19.139     2568.36    2564.00    2217.84
19.445     2600.00    2595.65    2253.82
19.725     2556.55    2552.19    2234.01
19.984     2586.59    2582.24    2264.05
20.243     2613.59    2609.24    2291.05
20.503     2642.72    2638.36    2320.18
20.764     2671.31    2666.96    2348.77
21.031     2700.29    2695.93    2377.75
21.303     2730.72    2726.36    2408.18
21.571     2760.22    2756.05    2437.70
21.843     2789.84    2785.68    2467.32
22.124     2820.72    2816.55    2498.20
22.402     2850.97    2846.80    2528.45
22.678     2882.72    2878.55    2560.20
22.951     2934.54    2930.37    2612.02
23.218     2969.23    2965.06    2646.71
23.484     2998.60    2994.43    2676.08
23.751     3028.10    3023.93    2705.58
24.018     3057.73    3053.56    2735.21
24.284     3087.23    3083.06    2764.71
24.550     3116.60    3112.43    2794.08
24.817     3146.10    3141.93    2823.58
25.092     3177.18    3173.01    2854.66
25.376     3208.85    3204.68    2886.33
25.665     3240.98    3236.81    2918.46
25.955     3272.48    3268.31    2949.96
26.239     3303.10    3298.93    2980.58
26.516     3333.48    3329.31    3010.96
26.789     3363.35    3359.18    3040.83
27.060     3393.10    3388.93    3070.58
27.333     3422.85    3418.68    3100.33
27.604     3452.54    3448.37    3130.02
27.888     3485.41    3481.24    3162.89
28.175     3515.66    3511.49    3193.14
28.450     3546.16    3541.99    3223.64
28.726     3576.66    3572.49    3254.14
29.005     3607.41    3603.24    3284.89
29.300     3641.66    3637.49    3319.14
29.605     3674.91    3670.74    3352.39
29.913     3707.66    3703.49    3385.14
30.210     3738.79    3734.62    3416.27
30.488     3768.54    3764.37    3446.02
30.767     3798.91    3794.74    3476.39
31.046     3829.41    3825.24    3506.89
31.326     3860.09    3855.92    3537.57
31.607     3890.47    3886.30    3567.95
31.888     3921.84    3917.68    3599.32
32.171     3952.61    3948.44    3630.09
32.461     3986.09    3981.93    3663.57
32.749     4017.34    4013.17    3694.82
33.032     4048.65    4044.48    3726.13
33.316     4079.90    4075.73    3757.38
33.601     4111.65    4107.48    3789.13
33.885     4143.40    4139.23    3820.88
34.170     4174.90    4170.73    3852.38
34.455     4206.65    4202.48    3884.13
34.740     4238.28    4234.11    3915.76
35.023     4269.90    4265.73    3947.38
35.307     4301.71    4297.54    3979.19
35.595     4333.02    4328.85    4010.50
35.886     4365.14    4360.98    4042.62
36.178     4397.39    4393.23    4074.88
36.467     4429.52    4425.35    4107.00
36.758     4461.89    4457.73    4139.38
37.047     4494.02    4489.85    4171.50
37.340     4527.27    4523.10    4204.75
37.634     4559.64    4555.48    4237.12
37.939     4595.27    4591.10    4272.75
38.244     4627.27    4623.10    4304.75
38.554     4663.52    4659.35    4341.00
38.867     4697.14    4692.98    4374.62
39.162     4729.83    4725.66    4407.31
39.455     4761.83    4757.66    4439.31
39.725     2499.21    2495.04    2176.69
39.970     2526.71    2522.54    2204.19
40.221     2553.39    2549.23    2230.88
40.474     2582.39    2578.23    2259.88
40.722     2609.39    2605.23    2286.88
40.983     2639.27    2635.10    2316.75
41.233     2666.64    2662.48    2344.12
41.484     2695.27    2691.10    2372.75
41.737     2723.02    2718.85    2400.50
41.990     2751.39    2747.23    2428.88
42.241     2777.52    2773.35    2455.00
42.490     2805.02    2800.85    2482.50
42.743     2833.02    2828.85    2510.50
42.996     2860.25    2856.09    2537.73
43.248     2888.30    2884.13    2565.78
43.503     2915.70    2911.53    2593.21
43.762     3045.18    3041.01    2722.71
44.022     3059.50    3055.34    2737.04
